ticker,name,sector,price,market_cap,current_assets,total_liabilities,ncav,ncav_per_share,ocf,ocf_positive,ncav_ratio,is_netnet,margin_pct,ocf_3y_all_positive,ocf_3y_count_positive,ocf_3y_values,has_dividend,has_buyback,revenue_declining,value_trap_flag
1301.T,"Kyokuyo Co., Ltd.",Consumer Defensive,4320.0,51309862560.0,134258000000.0,113763000000.0,20495000000.0,1725.56,5843000000.0,True,2.504,False,-275.5,False,1,"[5843000000.0, -1721000000.0, -6243000000.0]",True,False,False,False
1332.T,Nissui Corporation,Consumer Defensive,1249.5,378938150336.0,332568000000.0,348939000000.0,-16371000000.0,-53.98,40379000000.0,True,,False,,True,3,"[40379000000.0, 54486000000.0, 3396000000.0]",True,False,False,False
1333.T,Umios Corporation,Consumer Defensive,1247.5,188601165502.0,457468000000.0,460216000000.0,-2748000000.0,-18.18,24804000000.0,True,,False,,True,3,"[24804000000.0, 39179000000.0, 53604000000.0]",True,True,False,False
1375.T,"Yukiguni Factory Co., Ltd.",Consumer Defensive,1115.0,44469346530.0,11501000000.0,25343000000.0,-13842000000.0,-347.07,5519000000.0,True,,False,,True,3,"[5519000000.0, 5322000000.0, 3101000000.0]",True,False,False,False
1376.T,"Kaneko Seeds Co., Ltd.",Basic Materials,1455.0,15955601295.0,38277060000.0,24306507000.0,13970553000.0,1273.98,212910000.0,True,1.142,False,-71.3,False,2,"[212910000.0, 2235610000.0, -1590605000.0]",True,True,False,False
1377.T,Sakata Seed Corporation,Consumer Defensive,4195.0,177279424720.0,113848000000.0,29220000000.0,84628000000.0,2002.57,5100000000.0,True,2.095,False,-214.2,True,3,"[5100000000.0, 6966000000.0, 8351000000.0]",True,True,False,False
1379.T,Hokuto Corporation,Consumer Defensive,1886.0,59119261364.0,38621000000.0,50813000000.0,-12192000000.0,-388.94,12222000000.0,True,,False,,True,3,"[12222000000.0, 8375000000.0, 4675000000.0]",True,True,False,False
1380.T,"Akikawa Foods & Farms Co., Ltd.",Consumer Defensive,999.0,4164952878.0,2933981000.0,4939245000.0,-2005264000.0,-480.98,725072000.0,True,,False,,True,3,"[725072000.0, 393242000.0, 449011000.0]",True,False,False,False
1381.T,"AXYZ Co., Ltd.",Consumer Defensive,3710.0,20834135700.0,13081000000.0,3476000000.0,9605000000.0,1710.39,2915000000.0,True,2.169,False,-225.4,True,3,"[2915000000.0, 3729000000.0, 2635000000.0]",True,False,False,False
1382.T,"HOB Co.,Ltd.",Consumer Defensive,1430.0,1089116600.0,936566000.0,313482000.0,623084000.0,818.1,16111000.0,True,1.748,False,-162.2,False,2,"[16111000.0, -159782000.0, 122758000.0]",True,False,True,False
1383.T,"Berg Earth Co.,Ltd.",Consumer Defensive,2860.0,4577018160.0,2839029000.0,3884380000.0,-1045351000.0,-653.2,329887000.0,True,,False,,True,3,"[329887000.0, 111461000.0, 177468000.0]",True,False,False,False
1384.T,"Hokuryo Co., Ltd.",Consumer Defensive,2063.0,17450582794.0,6795000000.0,5064000000.0,1731000000.0,204.64,3216000000.0,True,10.081,False,-1412.2,True,3,"[3216000000.0, 3376000000.0, 2519000000.0]",True,False,False,False
1401.T,Mbs Inc,Industrials,1321.0,9157042542.0,3290133000.0,1181763000.0,2108370000.0,304.15,567895000.0,True,4.343,False,-551.5,True,3,"[567895000.0, 547568000.0, 54044000.0]",True,True,False,False
1407.T,West Holdings Corporation,Utilities,2216.0,87884676400.0,89170000000.0,112011000000.0,-22841000000.0,-575.93,3263000000.0,True,,False,,True,3,"[3263000000.0, 495000000.0, 7345000000.0]",True,False,False,False
1414.T,"SHO-BOND Holdings Co.,Ltd.",Industrials,1271.5,255522725260.0,100241000000.0,22763000000.0,77478000000.0,385.54,9473000000.0,True,3.298,False,-394.7,True,3,"[9473000000.0, 19406000000.0, 3751000000.0]",True,True,False,False
1417.T,MIRAIT ONE Corporation,Industrials,3850.0,339968120800.0,321194000000.0,267864000000.0,53330000000.0,603.94,18049000000.0,True,6.375,False,-856.2,True,3,"[18049000000.0, 33625000000.0, 5315000000.0]",True,True,False,False
1418.T,"Interlife Holdings Co., Ltd.",Industrials,509.0,7764260041.0,6567413000.0,4593086000.0,1974327000.0,129.43,2228928000.0,True,3.933,False,-489.9,False,2,"[2228928000.0, 484878000.0, -622689000.0]",True,True,False,False
