ticker,name,sector,market,price,s_score,s_total,s_pct,r_score,r_total,r_pct,grade,relaxed_items,s_EPS_positive,s_EPS_uptrend,s_GM_judge,s_OCF_positive,s_OCF_uptrend,s_FCF_positive,s_FCF_uptrend,s_ROE_above_thr,s_ROE_uptrend,s_ROA_above_thr,s_ROA_uptrend,s_DE_below_thr,s_ROIC_above_thr,s_ROIC_vs_WACC,r_EPS_positive,r_EPS_uptrend,r_GM_judge,r_OCF_positive,r_OCF_uptrend,r_FCF_positive,r_FCF_uptrend,r_ROE_above_thr,r_ROE_uptrend,r_ROA_above_thr,r_ROA_uptrend,r_DE_below_thr,r_ROIC_above_thr,r_ROIC_vs_WACC,s_gm_note,dcf_buy_price,dcf_intrinsic,dcf_adj_rate,dcf_raw_rate,dcf_years_back,dcf_past_eps,dcf_present_eps,peg_ratio,epv_eps,dcf_skip_reason,undervalued,margin_pct,latest_EPS,latest_GM,latest_ROE,latest_ROA,latest_DE,latest_ROIC,data_source,latest_NP,ncav,ncav_plus_tax_adjusted,asset_undervaluation_ratio,is_asset_undervalued,valuation_diff,rental_property_gain,rental_property_book_value,rental_property_fair_value,inventory_growth_gap_pct,is_inventory_risk,retirement_unrealized_diff,is_retirement_risk,owner_earnings,owner_earnings_yield,oe_depreciation,oe_capex,oe_depreciation_is_fallback,oe_capex_is_fallback,oe_per_share,oe_dcf_intrinsic,oe_dcf_buy_price,oe_dcf_gap_pct,epv_oe
7792.T,Colan Totte.Co.,Healthcare,JP,1443.0,14,14,100.0,14,14,100.0,STRICT,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,40%以上(右肩上がり),1963.56,2805.09,12.0,29.97,4.0,51.34,146.49,0.33,1831.12,,True,26.5,146.49,67.33,25.7,19.77,30.0,25.7,,1328000000.0,3276976000.0,3376307000.0,3.893,False,0.0,,,,7.7,False,,False,1129930000.0,8.6,71572000.0,-269642000.0,True,True,124.27,2379.6,1665.72,-15.2,1553.38
ADBE,Adobe Inc.,Technology,US,247.9,13,14,92.9,14,14,100.0,RELAXED,ROA_uptrend,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,40%以上(右肩上がり),265.41,379.16,11.74,23.48,9.0,3.02,20.15,0.56,251.87,,True,6.6,20.15,88.61,61.34,24.17,53.43,39.98,eodhd,,,,,,,,,,,,,,,,,,,,,,,,
4380.T,M - mart Inc.,Consumer Defensive,JP,574.0,13,14,92.9,14,14,100.0,RELAXED,ROE_above_thr,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,40%未満(avg40.9%)→OK,739.27,1056.1,5.19,10.38,8.0,39.26,86.52,0.66,1081.5,,True,22.4,86.52,46.38,19.82,13.66,45.1,19.83,,423000000.0,2053668000.0,2053668000.0,2.8,False,0.0,,,,,,,False,421191000.0,7.32,5548000.0,-7357000.0,True,True,43.11,526.26,368.38,-50.2,538.94
5032.T,ANYCOLOR Inc.,Communication Services,JP,2691.0,13,14,92.9,14,14,100.0,RELAXED,GM_judge,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,40%以上(右肩上がりNG),3104.51,4435.02,12.0,25.53,4.0,93.28,231.61,0.45,2895.12,,True,13.3,231.61,44.66,52.26,38.6,35.3,52.26,,14091000000.0,22559000000.0,22596000000.0,7.14,False,0.0,,,,-12.8,False,,False,,,,-2150000000.0,False,True,,,,,
5071.T,VIS Co.,Industrials,JP,1406.0,13,14,92.9,14,14,100.0,RELAXED,DE_below_thr,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,40%未満(avg27.9%)→OK,1410.24,2014.62,5.35,10.69,6.0,88.83,163.39,0.8,2042.37,,True,0.3,163.39,28.75,17.25,10.94,58.0,17.25,,1369000000.0,,,,,,,,,,,,,,,,,,,,,,,
9558.T,Japaniace Co.,Technology,JP,1979.0,12,14,85.7,14,14,100.0,RELAXED,"EPS_uptrend, DE_below_thr",True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,40%未満(avg25.0%)→OK,2149.13,3070.19,9.21,18.42,3.0,116.28,193.09,0.56,2413.62,,True,7.9,193.09,24.0,22.64,13.22,71.2,20.79,,765000000.0,2950627000.0,2980627000.0,2.633,False,0.0,,,,,,,False,762305000.0,9.71,16689000.0,-19384000.0,True,True,192.16,3055.6,2138.92,-0.5,2402.01
KSPI,Joint Stock Company Kaspi.kz,Technology,US,89.04,11,14,78.6,14,14,100.0,RELAXED,"EPS_uptrend, GM_judge, ROE_uptrend",True,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,40%以上(右肩上がりNG),139.98,199.97,11.33,22.66,3.0,5.92,10.92,0.35,136.5,,True,36.4,10.92,73.55,41.67,9.37,4.05,40.05,eodhd,,,,,,,,,,,,,,,,,,,,,,,,
NTES,NetEase,Communication Services,US,131.9,11,14,78.6,14,14,100.0,RELAXED,"GM_judge, ROE_above_thr, ROIC_above_thr",True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,40%以上(右肩上がりNG),366.61,523.73,5.26,10.53,8.0,19.17,42.7,0.29,533.75,,True,64.0,42.7,64.29,21.05,15.24,3.98,20.24,eodhd,,,,,,,,,,,,,,,,,,,,,,,,
YALA,Yalla Group Limited,Technology,US,5.38,11,14,78.6,14,14,100.0,RELAXED,"EPS_uptrend, ROE_uptrend, ROA_uptrend",True,False,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,40%以上(右肩上がり),11.2,16.0,12.0,53.25,7.0,0.04,0.84,0.12,10.5,,True,52.0,0.84,67.27,18.49,16.72,0.16,18.49,eodhd,,,,,,,,,,,,,,,,,,,,,,,,
3712.T,Information Planning CO.,Technology,JP,1065.0,11,14,78.6,14,14,100.0,RELAXED,"FCF_uptrend, ROE_uptrend, ROA_uptrend",True,True,True,True,True,True,False,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,40%以上(右肩上がり),2946.0,4208.56,4.69,9.38,9.0,158.96,356.21,0.32,4452.62,,True,63.8,356.21,66.04,15.49,12.8,21.1,15.5,,1077000000.0,,,,,,,,,,,,,,,,,,,,,,,
